sent_ind,cve_sent_ind,token,label
CVE-2012-4535,0,Xen,pn
CVE-2012-4535,0,3.4,vrs
CVE-2012-4535,0,through,<=
CVE-2012-4535,0,4.2,vre
CVE-2012-4535,0,",",sp
CVE-2012-4535,0,and,=
CVE-2012-4535,0,possibly,O
CVE-2012-4535,0,earlier,<
CVE-2012-4535,0,versions,O
CVE-2012-4535,0,",",O
CVE-2012-4535,0,allows,O
CVE-2012-4535,0,local,O
CVE-2012-4535,0,guest,O
CVE-2012-4535,0,OS,O
CVE-2012-4535,0,administrators,O
CVE-2012-4535,0,to,O
CVE-2012-4535,0,cause,O
CVE-2012-4535,0,a,O
CVE-2012-4535,0,denial,O
CVE-2012-4535,0,of,O
CVE-2012-4535,0,service,O
CVE-2012-4535,0,(,O
CVE-2012-4535,0,Xen,O
CVE-2012-4535,0,infinite,O
CVE-2012-4535,0,loop,O
CVE-2012-4535,0,and,O
CVE-2012-4535,0,physical,O
CVE-2012-4535,0,CPU,O
CVE-2012-4535,0,consumption,O
CVE-2012-4535,0,),O
CVE-2012-4535,0,by,O
CVE-2012-4535,0,setting,O
CVE-2012-4535,0,a,O
CVE-2012-4535,0,VCPU,O
CVE-2012-4535,0,with,O
CVE-2012-4535,0,an,O
CVE-2012-4535,0,"""",O
CVE-2012-4535,0,inappropriate,O
CVE-2012-4535,0,deadline,O
CVE-2012-4535,0,.,O
CVE-2012-4535,1,"""",O
CVE-2004-2169,0,Application,pn
CVE-2004-2169,0,Access,pn
CVE-2004-2169,0,Server,pn
CVE-2004-2169,0,(,O
CVE-2004-2169,0,A,pn
CVE-2004-2169,0,-,pn
CVE-2004-2169,0,A,pn
CVE-2004-2169,0,-,pn
CVE-2004-2169,0,S,pn
CVE-2004-2169,0,),O
CVE-2004-2169,0,1.0.37,vre
CVE-2004-2169,0,and,=
CVE-2004-2169,0,earlier,<
CVE-2004-2169,0,allows,O
CVE-2004-2169,0,remote,O
CVE-2004-2169,0,authenticated,O
CVE-2004-2169,0,users,O
CVE-2004-2169,0,to,O
CVE-2004-2169,0,cause,O
CVE-2004-2169,0,a,O
CVE-2004-2169,0,denial,O
CVE-2004-2169,0,of,O
CVE-2004-2169,0,service,O
CVE-2004-2169,0,(,O
CVE-2004-2169,0,application,O
CVE-2004-2169,0,crash,O
CVE-2004-2169,0,),O
CVE-2004-2169,0,via,O
CVE-2004-2169,0,a,O
CVE-2004-2169,0,long,O
CVE-2004-2169,0,file,O
CVE-2004-2169,0,request,O
CVE-2004-2169,0,.,O
CVE-2017-6053,0,A,O
CVE-2017-6053,0,Cross,O
CVE-2017-6053,0,-,O
CVE-2017-6053,0,Site,O
CVE-2017-6053,0,Scripting,O
CVE-2017-6053,0,issue,O
CVE-2017-6053,0,was,O
CVE-2017-6053,0,discovered,O
CVE-2017-6053,0,in,O
CVE-2017-6053,0,Trihedral,O
CVE-2017-6053,0,VTScada,pn
CVE-2017-6053,0,Versions,O
CVE-2017-6053,0,prior,<
CVE-2017-6053,0,to,<
CVE-2017-6053,0,11.2.26,vre
CVE-2017-6053,0,.,O
CVE-2017-6053,1,A,O
CVE-2017-6053,1,cross,O
CVE-2017-6053,1,-,O
CVE-2017-6053,1,site,O
CVE-2017-6053,1,scripting,O
CVE-2017-6053,1,vulnerability,O
CVE-2017-6053,1,may,O
CVE-2017-6053,1,allow,O
CVE-2017-6053,1,JavaScript,O
CVE-2017-6053,1,code,O
CVE-2017-6053,1,supplied,O
CVE-2017-6053,1,by,O
CVE-2017-6053,1,the,O
CVE-2017-6053,1,attacker,O
CVE-2017-6053,1,to,O
CVE-2017-6053,1,execute,O
CVE-2017-6053,1,within,O
CVE-2017-6053,1,the,O
CVE-2017-6053,1,user,O
CVE-2017-6053,1,'s,O
CVE-2017-6053,1,browser,O
CVE-2017-6053,1,.,O
CVE-2009-0891,0,The,O
CVE-2009-0891,0,Web,O
CVE-2009-0891,0,Services,O
CVE-2009-0891,0,Security,O
CVE-2009-0891,0,component,O
CVE-2009-0891,0,in,O
CVE-2009-0891,0,IBM,O
CVE-2009-0891,0,WebSphere,pn
CVE-2009-0891,0,Application,pn
CVE-2009-0891,0,Server,pn
CVE-2009-0891,0,7,vrs
CVE-2009-0891,0,before,<
CVE-2009-0891,0,Fix,update
CVE-2009-0891,0,Pack,update
CVE-2009-0891,0,1,update
CVE-2009-0891,0,(,sp
CVE-2009-0891,0,7.0.0.1,vre
CVE-2009-0891,0,),sp
CVE-2009-0891,0,",",sp
CVE-2009-0891,0,6.1,vrs
CVE-2009-0891,0,before,<
CVE-2009-0891,0,Fix,update
CVE-2009-0891,0,Pack,update
CVE-2009-0891,0,23,update
CVE-2009-0891,0,(,sp
CVE-2009-0891,0,6.1.0.23,vre
CVE-2009-0891,0,),sp
CVE-2009-0891,0,",",sp
CVE-2009-0891,0,and,sp
CVE-2009-0891,0,6.0.2,vrs
CVE-2009-0891,0,before,<
CVE-2009-0891,0,Fix,update
CVE-2009-0891,0,Pack,update
CVE-2009-0891,0,33,update
CVE-2009-0891,0,(,sp
CVE-2009-0891,0,6.0.2.33,vre
CVE-2009-0891,0,),sp
CVE-2009-0891,0,does,O
CVE-2009-0891,0,not,O
CVE-2009-0891,0,properly,O
CVE-2009-0891,0,enforce,O
CVE-2009-0891,0,(,O
CVE-2009-0891,0,1,O
CVE-2009-0891,0,),O
CVE-2009-0891,0,nonce,O
CVE-2009-0891,0,and,O
CVE-2009-0891,0,(,O
CVE-2009-0891,0,2,O
CVE-2009-0891,0,),O
CVE-2009-0891,0,timestamp,O
CVE-2009-0891,0,expiration,O
CVE-2009-0891,0,values,O
CVE-2009-0891,0,in,O
CVE-2009-0891,0,WS,O
CVE-2009-0891,0,-,O
CVE-2009-0891,0,Security,O
CVE-2009-0891,0,bindings,O
CVE-2009-0891,0,as,O
CVE-2009-0891,0,stored,O
CVE-2009-0891,0,in,O
CVE-2009-0891,0,the,O
CVE-2009-0891,0,com.ibm.wsspi.wssecurity.core,O
CVE-2009-0891,0,custom,O
CVE-2009-0891,0,property,O
CVE-2009-0891,0,",",O
CVE-2009-0891,0,which,O
CVE-2009-0891,0,allows,O
CVE-2009-0891,0,remote,O
CVE-2009-0891,0,authenticated,O
CVE-2009-0891,0,users,O
CVE-2009-0891,0,to,O
CVE-2009-0891,0,conduct,O
CVE-2009-0891,0,session,O
CVE-2009-0891,0,hijacking,O
CVE-2009-0891,0,attacks,O
CVE-2009-0891,0,.,O
CVE-2017-8040,0,In,O
CVE-2017-8040,0,Single,pn
CVE-2017-8040,0,Sign,pn
CVE-2017-8040,0,-,pn
CVE-2017-8040,0,On,pn
CVE-2017-8040,0,for,pn
CVE-2017-8040,0,Pivotal,pn
CVE-2017-8040,0,Cloud,pn
CVE-2017-8040,0,Foundry,pn
CVE-2017-8040,0,(,O
CVE-2017-8040,0,PCF,pn
CVE-2017-8040,0,),O
CVE-2017-8040,0,1.3.x,vr
CVE-2017-8040,0,versions,O
CVE-2017-8040,0,prior,<
CVE-2017-8040,0,to,<
CVE-2017-8040,0,1.3.4,vre
CVE-2017-8040,0,and,sp
CVE-2017-8040,0,1.4.x,vr
CVE-2017-8040,0,versions,O
CVE-2017-8040,0,prior,<
CVE-2017-8040,0,to,<
CVE-2017-8040,0,1.4.3,vre
CVE-2017-8040,0,",",O
CVE-2017-8040,0,an,O
CVE-2017-8040,0,XXE,O
CVE-2017-8040,0,(,O
CVE-2017-8040,0,XML,O
CVE-2017-8040,0,External,O
CVE-2017-8040,0,Entity,O
CVE-2017-8040,0,),O
CVE-2017-8040,0,attack,O
CVE-2017-8040,0,was,O
CVE-2017-8040,0,discovered,O
CVE-2017-8040,0,in,O
CVE-2017-8040,0,the,O
CVE-2017-8040,0,Single,O
CVE-2017-8040,0,Sign,O
CVE-2017-8040,0,-,O
CVE-2017-8040,0,On,O
CVE-2017-8040,0,service,O
CVE-2017-8040,0,dashboard,O
CVE-2017-8040,0,.,O
CVE-2017-8040,1,Privileged,O
CVE-2017-8040,1,users,O
CVE-2017-8040,1,can,O
CVE-2017-8040,1,in,O
CVE-2017-8040,1,some,O
CVE-2017-8040,1,cases,O
CVE-2017-8040,1,upload,O
CVE-2017-8040,1,malformed,O
CVE-2017-8040,1,XML,O
CVE-2017-8040,1,leading,O
CVE-2017-8040,1,to,O
CVE-2017-8040,1,exposure,O
CVE-2017-8040,1,of,O
CVE-2017-8040,1,data,O
CVE-2017-8040,1,on,O
CVE-2017-8040,1,the,O
CVE-2017-8040,1,Single,O
CVE-2017-8040,1,Sign,O
CVE-2017-8040,1,-,O
CVE-2017-8040,1,On,O
CVE-2017-8040,1,service,O
CVE-2017-8040,1,broker,O
CVE-2017-8040,1,file,O
CVE-2017-8040,1,system,O
CVE-2017-8040,1,.,O
CVE-2007-4543,0,Cross,O
CVE-2007-4543,0,-,O
CVE-2007-4543,0,site,O
CVE-2007-4543,0,scripting,O
CVE-2007-4543,0,(,O
CVE-2007-4543,0,XSS,O
CVE-2007-4543,0,),O
CVE-2007-4543,0,vulnerability,O
CVE-2007-4543,0,in,O
CVE-2007-4543,0,enter_bug.cgi,O
CVE-2007-4543,0,in,O
CVE-2007-4543,0,Bugzilla,pn
CVE-2007-4543,0,2.17.1,vrs
CVE-2007-4543,0,through,<=
CVE-2007-4543,0,2.20.4,vre
CVE-2007-4543,0,",",sp
CVE-2007-4543,0,2.22.x,vr
CVE-2007-4543,0,before,<
CVE-2007-4543,0,2.22.3,vre
CVE-2007-4543,0,",",sp
CVE-2007-4543,0,and,sp
CVE-2007-4543,0,3.x,vr
CVE-2007-4543,0,before,<
CVE-2007-4543,0,3.0.1,vre
CVE-2007-4543,0,allows,O
CVE-2007-4543,0,remote,O
CVE-2007-4543,0,attackers,O
CVE-2007-4543,0,to,O
CVE-2007-4543,0,inject,O
CVE-2007-4543,0,arbitrary,O
CVE-2007-4543,0,web,O
CVE-2007-4543,0,script,O
CVE-2007-4543,0,or,O
CVE-2007-4543,0,HTML,O
CVE-2007-4543,0,via,O
CVE-2007-4543,0,the,O
CVE-2007-4543,0,buildid,O
CVE-2007-4543,0,field,O
CVE-2007-4543,0,in,O
CVE-2007-4543,0,the,O
CVE-2007-4543,0,"""",O
CVE-2007-4543,0,guided,O
CVE-2007-4543,0,form,O
CVE-2007-4543,0,.,O
CVE-2007-4543,1,"""",O
CVE-2018-7059,0,Aruba,pn
CVE-2018-7059,0,ClearPass,pn
CVE-2018-7059,0,prior,<
CVE-2018-7059,0,to,<
CVE-2018-7059,0,6.6.9,vre
CVE-2018-7059,0,has,O
CVE-2018-7059,0,a,O
CVE-2018-7059,0,vulnerability,O
CVE-2018-7059,0,in,O
CVE-2018-7059,0,the,O
CVE-2018-7059,0,API,O
CVE-2018-7059,0,that,O
CVE-2018-7059,0,helps,O
CVE-2018-7059,0,to,O
CVE-2018-7059,0,coordinate,O
CVE-2018-7059,0,cluster,O
CVE-2018-7059,0,actions,O
CVE-2018-7059,0,.,O
CVE-2018-7059,1,An,O
CVE-2018-7059,1,authenticated,O
CVE-2018-7059,1,user,O
CVE-2018-7059,1,with,O
CVE-2018-7059,1,the,O
CVE-2018-7059,1,"""",O
CVE-2018-7059,1,mon,O
CVE-2018-7059,1,"""",O
CVE-2018-7059,1,permission,O
CVE-2018-7059,1,could,O
CVE-2018-7059,1,use,O
CVE-2018-7059,1,this,O
CVE-2018-7059,1,vulnerability,O
CVE-2018-7059,1,to,O
CVE-2018-7059,1,obtain,O
CVE-2018-7059,1,cluster,O
CVE-2018-7059,1,credentials,O
CVE-2018-7059,1,which,O
CVE-2018-7059,1,could,O
CVE-2018-7059,1,allow,O
CVE-2018-7059,1,privilege,O
CVE-2018-7059,1,escalation,O
CVE-2018-7059,1,.,O
CVE-2018-7059,2,This,O
CVE-2018-7059,2,vulnerability,O
CVE-2018-7059,2,is,O
CVE-2018-7059,2,only,O
CVE-2018-7059,2,present,O
CVE-2018-7059,2,when,O
CVE-2018-7059,2,authenticated,O
CVE-2018-7059,2,as,O
CVE-2018-7059,2,a,O
CVE-2018-7059,2,user,O
CVE-2018-7059,2,with,O
CVE-2018-7059,2,"""",O
CVE-2018-7059,2,mon,O
CVE-2018-7059,2,"""",O
CVE-2018-7059,2,permission,O
CVE-2018-7059,2,.,O
CVE-2002-1912,0,SkyStream,O
CVE-2002-1912,0,EMR5000,pn
CVE-2002-1912,0,1.16,vrs
CVE-2002-1912,0,through,<=
CVE-2002-1912,0,1.18,vre
CVE-2002-1912,0,does,O
CVE-2002-1912,0,not,O
CVE-2002-1912,0,drop,O
CVE-2002-1912,0,packets,O
CVE-2002-1912,0,or,O
CVE-2002-1912,0,disable,O
CVE-2002-1912,0,the,O
CVE-2002-1912,0,Ethernet,O
